TAZ_SR13,MSA
13,4
14,5
15,4
16,4
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,6
25,6
26,6
27,6
28,6
29,6
30,5
31,6
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,4
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,6
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,6
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,4
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,6
155,5
156,5
157,5
158,5
159,5
160,5
161,6
162,5
163,6
164,5
165,5
166,5
167,5
168,6
169,5
170,5
171,5
172,4
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,4
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,6
192,5
193,6
194,6
195,6
196,5
197,5
198,4
199,5
200,5
201,4
202,5
203,4
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,6
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,4
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,6
231,6
232,5
233,4
234,5
235,5
236,5
237,5
238,5
239,4
240,5
241,5
242,4
243,5
244,5
245,5
246,5
247,6
248,6
249,5
250,6
251,6
252,6
253,6
254,6
255,5
256,4
257,5
258,5
259,5
260,4
261,4
262,6
263,4
264,5
265,4
266,4
267,5
268,4
269,4
270,4
271,5
272,4
273,6
274,5
275,4
276,4
277,5
278,5
279,4
280,4
281,5
282,5
283,5
284,6
285,5
286,6
287,6
288,5
289,6
290,6
291,5
292,6
293,6
294,6
295,6
296,4
297,4
298,5
299,5
300,5
301,5
302,4
303,4
304,6
305,4
306,4
307,4
308,6
309,4
310,4
311,4
312,4
313,4
314,6
315,5
316,4
317,5
318,5
319,5
320,4
321,4
322,4
323,5
324,6
325,5
326,5
327,5
328,4
329,5
330,4
331,5
332,5
333,4
334,4
335,4
336,4
337,6
338,4
339,4
340,4
341,4
342,5
343,4
344,4
345,5
346,4
347,5
348,5
349,4
350,4
351,4
352,5
353,5
354,5
355,5
356,5
357,5
358,5
359,4
360,5
361,4
362,5
363,6
364,4
365,4
366,4
367,4
368,4
369,4
370,5
371,5
372,5
373,4
374,5
375,5
376,5
377,4
378,4
379,5
380,5
381,4
382,4
383,6
384,5
385,4
386,5
387,5
388,5
389,5
390,5
391,5
392,4
393,5
394,5
395,4
396,4
397,4
398,5
399,4
400,4
401,5
402,6
403,4
404,6
405,4
406,4
407,5
408,5
409,5
410,4
411,4
412,4
413,4
414,4
415,5
416,5
417,5
418,5
419,5
420,6
421,4
422,4
423,5
424,4
425,4
426,5
427,5
428,4
429,4
430,5
431,5
432,5
433,5
434,4
435,4
436,5
437,4
438,5
439,5
440,5
441,5
442,6
443,4
444,4
445,4
446,4
447,5
448,5
449,4
