mgra,msa,taz
1,0,3331
2,0,3331
3,0,3358
4,0,3358
5,0,3358
6,0,3358
7,0,3407
8,0,3407
9,0,3407
10,0,3407
11,0,3407
12,0,3407
13,0,3407
14,0,3407
15,0,3407
16,0,3458
17,0,3458
18,0,3385
19,0,3385
20,0,3385
21,0,3331
22,0,3331
23,0,3331
24,0,3331
25,0,3331
26,0,3331
27,0,3379
28,0,3331
29,0,3331
30,0,3379
31,0,3379
32,0,3379
33,0,3379
34,0,3379
35,0,3379
36,0,3379
37,0,3379
38,0,3379
39,0,3379
40,0,3379
41,0,3379
42,0,3379
43,0,3457
44,0,3457
45,0,3458
46,0,3457
47,0,3458
48,0,3458
49,0,3458
50,0,3457
51,0,3458
52,0,3458
53,0,3458
54,0,3458
55,0,3458
56,0,3458
57,0,3458
58,0,3457
59,0,3457
60,0,3457
61,0,3458
62,0,3458
63,0,3458
64,0,3349
65,0,3349
66,0,3349
67,0,3371
68,0,3349
69,0,3349
70,0,3349
71,0,3430
72,0,3430
73,0,3430
74,0,3431
75,0,3448
76,0,3448
77,0,3448
78,0,3430
79,0,3430
80,0,3430
81,0,3431
82,0,3431
83,0,3448
84,0,3430
85,0,3448
86,0,3431
87,0,3430
88,0,3448
89,0,3430
90,0,3430
91,0,3431
92,0,3448
93,0,3448
94,0,3448
95,0,3371
96,0,3371
97,0,3504
98,0,3504
99,0,3549
100,0,3549
101,0,3549
102,0,3537
103,0,3593
104,0,3537
105,0,3593
106,0,3593
107,0,3537
108,0,3593
109,0,3593
110,0,3537
111,0,3470
112,0,3470
113,0,3470
114,0,3470
115,0,3527
116,0,3527
117,0,3527
118,0,3527
119,0,3527
120,0,3482
121,0,3482
122,0,3482
123,0,3482
124,0,3482
125,0,3482
126,0,3482
127,0,3482
128,0,3537
129,0,3538
130,0,3537
131,0,3538
132,0,3537
133,0,3565
134,0,3537
135,0,3565
136,0,3565
137,0,3565
138,0,3606
139,0,3565
140,0,3537
141,0,3565
142,0,3606
143,0,3606
144,0,3482
145,0,3537
146,0,3503
147,0,3503
148,0,3503
149,0,3510
150,0,3510
151,0,3503
152,0,3503
153,0,3503
154,0,3516
155,0,3516
156,0,3522
157,0,3522
158,0,3547
159,0,3551
160,0,3551
161,0,3547
162,0,3547
163,0,3515
164,0,3515
165,0,3515
166,0,3515
167,0,3515
168,0,3515
169,0,3573
170,0,3573
171,0,3573
172,0,3608
173,0,3608
174,0,3608
175,0,3608
176,0,3608
177,0,3515
178,0,3571
179,0,3571
