"year","home_msa","emp_center","workers"
2020,0,0,170915
2020,0,1,35560
2020,0,2,11224
2020,0,3,26657
2020,0,4,13041
2020,0,5,860
2020,0,6,13419
2020,0,7,44
2020,0,8,9318
2020,0,9,12172
2020,0,10,232
2020,0,11,3449
2020,0,NA,381877
2020,1,0,209706
2020,1,1,16678
2020,1,2,34899
2020,1,3,43219
2020,1,4,40199
2020,1,5,5874
2020,1,6,13180
2020,1,7,650
2020,1,8,2433
2020,1,9,3123
2020,1,10,3773
2020,1,11,1554
2020,1,NA,460014
2020,2,0,121436
2020,2,1,13458
2020,2,2,4011
2020,2,3,10342
2020,2,4,4421
2020,2,5,239
2020,2,6,4535
2020,2,7,16
2020,2,8,1547
2020,2,9,2540
2020,2,10,80
2020,2,11,1953
2020,2,NA,270429
2020,3,0,144995
2020,3,1,10489
2020,3,2,7515
2020,3,3,17497
2020,3,4,7297
2020,3,5,989
2020,3,6,6587
2020,3,7,76
2020,3,8,1059
2020,3,9,1776
2020,3,10,333
2020,3,11,1179
2020,3,NA,294846
2020,4,0,112833
2020,4,1,2187
2020,4,2,7287
2020,4,3,4785
2020,4,4,10251
2020,4,5,28885
2020,4,6,1037
2020,4,7,26977
2020,4,8,88
2020,4,9,115
2020,4,10,62
2020,4,11,107
2020,4,NA,247727
2020,5,0,125440
2020,5,1,1275
2020,5,2,5344
2020,5,3,5060
2020,5,4,3935
2020,5,5,32973
2020,5,6,1055
2020,5,7,4292
2020,5,8,99
2020,5,9,167
2020,5,10,231
2020,5,11,101
2020,5,NA,281879
2020,6,0,7362
2020,6,1,89
2020,6,2,67
2020,6,3,136
2020,6,4,46
2020,6,5,44
2020,6,6,68
2020,6,7,32
2020,6,8,18
2020,6,9,28
2020,6,10,7
2020,6,11,8
2020,6,NA,19199
